stage,category,callee,callsites,statepoints,leaf_callsites,gc_live_operands,gc_relocate_intrinsics,relocates_attributed,relocates_unattributed,audit_match,runtime_source_identity,audit_status,current_effect,allocation_class,perry_heap_allocation,may_collect,may_reenter_js,reason,proof,runtime_locations,declaration_locations,literal_direct_call_locations,declaration_occurrences,literal_direct_call_occurrences,dynamic_calls,dynamic_window,dynamic_binary_sha256,reviewed_unannotated_no_collect
post-opt,external-unclassified,js_assert_ok,3,3,0,9,0,18,0,unmatched,unresolved,unreviewed,unclassified,unclear,unclear,unclear,unclear,No exact audit entry; category is retained without inferring runtime identity or effects.,,,,,,,,,,false
post-opt,external-unclassified,js_async_local_storage_new,8,6,0,1,0,1,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/third_party.rs:183,crates/perry-codegen/src/lower_call/builtin.rs:996,1,1,,,,false
post-opt,external-unclassified,js_async_resource_static_bind_direct,4,4,0,4,0,4,0,unmatched,unresolved,unreviewed,unclassified,unclear,unclear,unclear,unclear,No exact audit entry; category is retained without inferring runtime identity or effects.,,,,,,,,,,false
post-opt,external-unclassified,js_bun_gc,1,1,0,3,0,6,0,unmatched,unresolved,unreviewed,unclassified,unclear,unclear,unclear,unclear,No exact audit entry; category is retained without inferring runtime identity or effects.,,,,,,,,,,false
post-opt,external-unclassified,js_bun_generate_heap_snapshot,1,1,0,3,0,6,0,unmatched,unresolved,unreviewed,unclassified,unclear,unclear,unclear,unclear,No exact audit entry; category is retained without inferring runtime identity or effects.,,,,,,,,,,false
post-opt,external-unclassified,js_bun_hash,7,7,0,8,0,8,0,unmatched,unresolved,unreviewed,unclassified,unclear,unclear,unclear,unclear,No exact audit entry; category is retained without inferring runtime identity or effects.,,,,,,,,,,false
post-opt,external-unclassified,js_bun_tcp_nm_install,24,24,0,28,0,34,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/objects.rs:319,,1,0,,,,false
post-opt,external-unclassified,js_bun_transpiler_new,1,1,0,0,0,0,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,,crates/perry-codegen/src/lower_call/builtin.rs:142,0,1,,,,false
post-opt,external-unclassified,js_bun_unsupported,2,2,0,3,0,6,0,unmatched,unresolved,unreviewed,unclassified,unclear,unclear,unclear,unclear,No exact audit entry; category is retained without inferring runtime identity or effects.,,,,,,,,,,false
post-opt,external-unclassified,js_crypto_create_hash,57,57,0,148,0,231,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:647,crates/perry-codegen/src/expr/calls/crypto_hash.rs:241;crates/perry-codegen/src/expr/calls/crypto_hash.rs:349,1,2,,,,false
post-opt,external-unclassified,js_crypto_create_private_key_value,1,1,0,3,0,6,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:529,,1,0,,,,false
post-opt,external-unclassified,js_crypto_random_bytes_buffer,30,28,0,80,0,129,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:544,crates/perry-codegen/src/expr/calls/crypto_misc.rs:168;crates/perry-codegen/src/expr/misc_methods.rs:299,1,2,,,,false
post-opt,external-unclassified,js_crypto_random_uuid,190,169,0,956,0,1162,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/strings_part2.rs:546,crates/perry-codegen/src/expr/calls/crypto_misc.rs:184;crates/perry-codegen/src/expr/misc_methods.rs:285,1,2,,,,false
post-opt,external-unclassified,js_dns_lookup,1,1,0,0,0,0,0,unmatched,unresolved,unreviewed,unclassified,unclear,unclear,unclear,unclear,No exact audit entry; category is retained without inferring runtime identity or effects.,,,,,,,,,,false
post-opt,external-unclassified,js_event_emitter_emit,1,1,0,0,0,0,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/streams_events.rs:130,,1,0,,,,false
post-opt,external-unclassified,js_event_emitter_new_with_options,1,1,0,3,0,6,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/streams_events.rs:134,crates/perry-codegen/src/lower_call/builtin.rs:431,1,1,,,,false
post-opt,external-unclassified,js_event_emitter_once,3,3,0,6,0,12,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/streams_events.rs:136,,1,0,,,,false
post-opt,external-unclassified,js_event_emitter_remove_all_listeners,1,1,0,0,0,0,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/streams_events.rs:143,,1,0,,,,false
post-opt,external-unclassified,js_events_once,2,2,0,6,0,12,0,exact-symbol,unresolved,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/runtime_decls/stdlib_ffi/streams_events.rs:170,,1,0,,,,false
