helper,audit_status,current_effect,allocation_class,perry_heap_allocation,may_collect,may_reenter_js,reason,proof,runtime_locations,declaration_locations,literal_direct_call_locations,declaration_occurrences,literal_direct_call_occurrences,dynamic_calls,dynamic_window,dynamic_binary_sha256,post-opt_callsites,post-opt_statepoints,post-opt_gc_live_operands,post-rs4gc_callsites,post-rs4gc_statepoints,post-rs4gc_gc_live_operands,pre-rs4gc_callsites,pre-rs4gc_statepoints,pre-rs4gc_gc_live_operands
js_abort_controller_new,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/url/abort.rs:123,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1296,crates/perry-codegen/src/lower_call/builtin.rs:1864,1,1,,,,83,82,384,83,82,384,85,0,0
js_abort_signal_abort,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/url/abort.rs:591,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1303,crates/perry-codegen/src/expr/static_method.rs:103,1,1,,,,1,1,0,1,1,0,1,0,0
js_abort_signal_any,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/url/abort.rs:645,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1304,crates/perry-codegen/src/expr/static_method.rs:115,1,1,,,,1,1,1,1,1,1,1,0,0
js_abort_signal_timeout,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/url/abort.rs:564,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1301,crates/perry-codegen/src/expr/static_method.rs:92,1,1,,,,21,21,73,21,21,73,21,0,0
js_arguments_object_alloc,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/object/arguments.rs:162,crates/perry-codegen/src/runtime_decls/strings.rs:1099,crates/perry-codegen/src/codegen/arguments.rs:102,1,1,,,,179,179,517,179,179,517,179,0,0
js_array_alloc,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/alloc.rs:37,crates/perry-codegen/src/gc_call_effects.rs:1054;crates/perry-codegen/src/runtime_decls/arrays.rs:19,crates/perry-codegen/src/expr/array_literal.rs:73;crates/perry-codegen/src/expr/call_spread.rs:79;crates/perry-codegen/src/expr/logical_collections.rs:1004;crates/perry-codegen/src/expr/logical_collections.rs:1054;crates/perry-codegen/src/expr/objects_arrays_lit.rs:91;crates/perry-codegen/src/expr/static_field_meta.rs:203;crates/perry-codegen/src/expr/static_field_meta.rs:596;crates/perry-codegen/src/expr/static_method.rs:204;crates/perry-codegen/src/expr/super_method.rs:172;crates/perry-codegen/src/expr/this_super_call.rs:220;crates/perry-codegen/src/gc_call_effects.rs:974;crates/perry-codegen/src/gc_call_effects.rs:1066;crates/perry-codegen/src/lower_call/native/mod.rs:344;crates/perry-codegen/src/lower_call/native_module_dispatch.rs:113;crates/perry-codegen/src/lower_call/native_module_dispatch.rs:186;crates/perry-codegen/src/lower_call/new_ctor_args.rs:278;crates/perry-codegen/src/lower_call/property_get/dynamic_dispatch.rs:109;crates/perry-codegen/src/lower_call/property_get/static_dispatch.rs:193;crates/perry-codegen/src/lower_call/property_get/static_dispatch.rs:220;crates/perry-codegen/src/rooting/temp_root.rs:284,2,20,,,,8478,8244,57321,8510,8276,57477,8532,0,0
js_array_alloc_with_length,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/alloc.rs:120,crates/perry-codegen/src/runtime_decls/objects.rs:386,crates/perry-codegen/src/expr/bigint_set.rs:444,1,1,,,,133,133,615,133,133,615,133,0,0
js_array_at,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iter_methods.rs:840,crates/perry-codegen/src/runtime_decls/strings.rs:1177,crates/perry-codegen/src/expr/os_uri_dates.rs:391;crates/perry-codegen/src/lower_array_method.rs:805,1,2,,,,71,65,349,71,65,349,71,0,0
js_array_buffer_new_value,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/buffer/from.rs:799,crates/perry-codegen/src/runtime_decls/strings_part2.rs:683,,1,0,,,,28,27,47,28,27,47,28,0,0
js_array_clone_for_spread,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/flat_clone.rs:414,crates/perry-codegen/src/runtime_decls/arrays.rs:314,crates/perry-codegen/src/expr/objects_arrays_lit.rs:61,1,1,,,,323,307,993,323,307,993,323,0,0
js_array_concat,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/concat_reverse.rs:79,crates/perry-codegen/src/runtime_decls/strings.rs:365,crates/perry-codegen/src/expr/array_push.rs:667;crates/perry-codegen/src/expr/array_push.rs:1524,1,2,,,,357,350,1183,357,350,1183,358,0,0
