helper,audit_status,current_effect,allocation_class,perry_heap_allocation,may_collect,may_reenter_js,reason,proof,runtime_locations,declaration_locations,literal_direct_call_locations,declaration_occurrences,literal_direct_call_occurrences,dynamic_calls,dynamic_window,dynamic_binary_sha256
allocating_generated,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,,crates/perry-codegen/src/gc_call_effects.rs:1087,0,1,,,
clearImmediate,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/timer.rs:1525,crates/perry-codegen/src/runtime_decls/strings_part2.rs:823,,1,0,,,
clearInterval,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/timer.rs:1689,crates/perry-codegen/src/runtime_decls/strings_part2.rs:822,,1,0,,,
clearTimeout,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/timer.rs:1498,crates/perry-codegen/src/runtime_decls/strings_part2.rs:821,,1,0,,,
constructor,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,,crates/perry-codegen/src/module.rs:1780,crates/perry-codegen/src/module.rs:1794,1,1,,,
js_abort_controller_abort,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/url/abort.rs:300,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1298,crates/perry-codegen/src/lower_call/options/abort.rs:107,1,1,,,
js_abort_controller_abort_reason,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/url/abort.rs:306,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1299,crates/perry-codegen/src/lower_call/options/abort.rs:111,1,1,,,
js_abort_controller_new,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/url/abort.rs:123,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1296,crates/perry-codegen/src/lower_call/builtin.rs:1864,1,1,,,
js_abort_controller_signal,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/url/abort.rs:154,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1297,crates/perry-codegen/src/lower_call/options/abort.rs:70;crates/perry-codegen/src/lower_call/options/abort.rs:135,1,2,,,
js_abort_signal_abort,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/url/abort.rs:591,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1303,crates/perry-codegen/src/expr/static_method.rs:103,1,1,,,
